+---------------------------------------+------+------+--------------------------------+----------+
| NOTE: The Block ID is for very specific low-level purposes only!                                |
| It WILL be different in every world since Minecraft 1.7,                                        |
| because they are dynamically allocated by the game!                                             |
+---------------------------------------+------+------+--------------------------------+----------+
| Registry name                         |   ID | meta | Display name                   |    Count |
| minecraft:purple_shulker_box          |  229 |    1 | Purple Shulker Box             |        1 |
| minecraft:quartz_block                |  155 |    0 | Block of Quartz                |      270 |
| minecraft:quartz_ore                  |  153 |    0 | Nether Quartz Ore              |     1511 |
| minecraft:rail                        |   66 |    0 | Rail                           |       65 |
| minecraft:rail                        |   66 |    1 | Rail                           |       57 |
| minecraft:red_flower                  |   38 |    0 | Poppy                          |      219 |
| minecraft:red_flower                  |   38 |    1 | Blue Orchid                    |        4 |
| minecraft:red_flower                  |   38 |    3 | Azure Bluet                    |      143 |
| minecraft:red_flower                  |   38 |    5 | Orange Tulip                   |        6 |
| minecraft:red_flower                  |   38 |    8 | Oxeye Daisy                    |      131 |
| minecraft:red_mushroom                |   40 |    0 | Mushroom                       |       37 |
| minecraft:red_mushroom_block          |  100 |    1 | Mushroom                       |        1 |
| minecraft:red_mushroom_block          |  100 |    3 | Mushroom                       |        2 |
| minecraft:red_mushroom_block          |  100 |    7 | Mushroom                       |        1 |
| minecraft:red_mushroom_block          |  100 |    9 | Mushroom                       |        2 |
| minecraft:red_nether_brick            |  215 |    0 | Red Nether Brick               |     2476 |
| minecraft:redstone_block              |  152 |    0 | Block of Redstone              |       65 |
| minecraft:redstone_lamp               |  123 |    0 | Redstone Lamp                  |       18 |
| minecraft:redstone_ore                |   73 |    0 | Redstone Ore                   |    48485 |
| minecraft:redstone_torch              |   76 |    1 | Redstone Torch                 |        4 |
| minecraft:redstone_torch              |   76 |    2 | Redstone Torch                 |        8 |
| minecraft:redstone_torch              |   76 |    4 | Redstone Torch                 |        6 |
| minecraft:redstone_torch              |   76 |    5 | Redstone Torch                 |       30 |
| minecraft:redstone_wire               |   55 |    0 | minecraft:redstone_wire        |       77 |
| minecraft:redstone_wire               |   55 |   11 | minecraft:redstone_wire        |        1 |
| minecraft:redstone_wire               |   55 |   12 | minecraft:redstone_wire        |        1 |
| minecraft:redstone_wire               |   55 |   13 | minecraft:redstone_wire        |        1 |
| minecraft:redstone_wire               |   55 |   14 | minecraft:redstone_wire        |        1 |
| minecraft:redstone_wire               |   55 |   15 | minecraft:redstone_wire        |        2 |
| minecraft:reeds                       |   83 |    0 | minecraft:reeds                |       15 |
| minecraft:reeds                       |   83 |    2 | minecraft:reeds                |        1 |
| minecraft:sand                        |   12 |    0 | Sand                           |    28985 |
| minecraft:skull                       |  144 |    1 | minecraft:skull                |       99 |
| minecraft:snow_layer                  |   78 |    0 | Snow                           |     1878 |
| minecraft:soul_sand                   |   88 |    0 | Soul Sand                      |     1804 |
| minecraft:spruce_door                 |  193 |    0 | minecraft:spruce_door          |        2 |
| minecraft:spruce_door                 |  193 |    2 | minecraft:spruce_door          |        1 |
| minecraft:spruce_door                 |  193 |    7 | minecraft:spruce_door          |        1 |
| minecraft:spruce_door                 |  193 |    8 | minecraft:spruce_door          |        1 |
| minecraft:spruce_door                 |  193 |    9 | minecraft:spruce_door          |        1 |
| minecraft:spruce_door                 |  193 |    9 | minecraft:spruce_door          |        2 |
| minecraft:spruce_fence                |  188 |    0 | Spruce Fence                   |      102 |
| minecraft:spruce_fence_gate           |  183 |    0 | Spruce Fence Gate              |        4 |
| minecraft:spruce_fence_gate           |  183 |    1 | Spruce Fence Gate              |        4 |
| minecraft:spruce_fence_gate           |  183 |    2 | Spruce Fence Gate              |        4 |
| minecraft:spruce_fence_gate           |  183 |    3 | Spruce Fence Gate              |        4 |
| minecraft:spruce_stairs               |  134 |    0 | Spruce Wood Stairs             |        9 |
| minecraft:spruce_stairs               |  134 |    1 | Spruce Wood Stairs             |        9 |
| minecraft:spruce_stairs               |  134 |    2 | Spruce Wood Stairs             |       13 |
| minecraft:spruce_stairs               |  134 |    3 | Spruce Wood Stairs             |       13 |
| minecraft:spruce_stairs               |  134 |    4 | Spruce Wood Stairs             |      167 |
| minecraft:spruce_stairs               |  134 |    5 | Spruce Wood Stairs             |      169 |
| minecraft:spruce_stairs               |  134 |    6 | Spruce Wood Stairs             |      146 |
| minecraft:spruce_stairs               |  134 |    7 | Spruce Wood Stairs             |      137 |
| minecraft:stained_glass_pane          |  160 |    0 | White Stained Glass Pane       |       26 |
| minecraft:stained_hardened_clay       |  159 |    1 | Orange Terracotta              |      469 |
| minecraft:stained_hardened_clay       |  159 |    9 | Cyan Terracotta                |      146 |
| minecraft:stained_hardened_clay       |  159 |   13 | Green Terracotta               |       95 |
| minecraft:stained_hardened_clay       |  159 |   14 | Red Terracotta                 |        1 |
| minecraft:sticky_piston               |   29 |    3 | Sticky Piston                  |        1 |
| minecraft:stone                       |    1 |    0 | Stone                          |  7588657 |
| minecraft:stone                       |    1 |    1 | Granite                        |   563787 |
| minecraft:stone                       |    1 |    2 | Polished Granite               |      384 |
| minecraft:stone                       |    1 |    3 | Diorite                        |   477928 |
| minecraft:stone                       |    1 |    5 | Andesite                       |   552770 |
